Vehicle_ID,Vehicle_Type,Capacity_KG,Fuel_Efficiency_KM_per_L,Current_Location,Status,Age_Years,CO2_Emissions_Kg_per_KM,Efficiency_Score,Age_Category,Capacity_Category
VEH0025,Large_Truck,8518.96,5.12,Bangalore,In_Transit,5.799724024090322,0.527,9.715370018975332,Middle,Large
VEH0026,Large_Truck,6564.54,4.81,Chennai,Available,1.8056125648357195,0.561,8.573975044563278,New,Large
VEH0027,Small_Van,724.54,10.45,Bangalore,In_Transit,7.122453686223298,0.258,40.50387596899225,Middle,Small
VEH0028,Small_Van,793.79,10.8,Mumbai,Available,5.206149288382095,0.25,43.2,Middle,Small
VEH0029,Medium_Truck,3872.53,7.63,Bangalore,Maintenance,3.4927648823182604,0.354,21.55367231638418,Young,Medium
VEH0030,Refrigerated,1782.81,7.02,Ahmedabad,In_Transit,4.235302947926517,0.385,18.233766233766232,Young,Medium
VEH0031,Large_Truck,6635.22,6.67,Kolkata,Maintenance,3.755157295315691,0.405,16.469135802469136,Young,Large
VEH0032,Small_Van,717.2,10.89,Delhi,Maintenance,2.218789634106216,0.248,43.91129032258065,Young,Small
VEH0033,Medium_Truck,3341.35,8.1,Kolkata,Available,1.994527523501006,0.333,24.324324324324323,New,Medium
VEH0034,Refrigerated,2608.08,5.04,Pune,Available,0.6185989717472156,0.536,9.402985074626866,New,Medium
VEH0035,Small_Van,955.58,9.42,Delhi,In_Transit,5.050487935380773,0.287,32.822299651567945,Middle,Small
VEH0036,Large_Truck,5405.75,6.85,Delhi,In_Transit,3.3746317973165105,0.394,17.385786802030456,Young,Large
VEH0037,Medium_Truck,2566.61,8.36,Bangalore,In_Transit,6.071611202509542,0.323,25.882352941176467,Middle,Medium
VEH0038,Large_Truck,7607.25,4.21,Delhi,Available,2.046630538131049,0.642,6.557632398753894,Young,Large
VEH0039,Refrigerated,2000.41,7.6,Mumbai,In_Transit,5.498472856451268,0.355,21.408450704225352,Middle,Medium
VEH0040,Refrigerated,2181.52,6.89,Bangalore,In_Transit,6.752323506079688,0.392,17.576530612244895,Middle,Medium
VEH0041,Medium_Truck,3070.05,6.43,Pune,Available,6.685574280102557,0.42,15.30952380952381,Middle,Medium
VEH0042,Small_Van,721.96,8.09,Chennai,Available,3.557246434847418,0.334,24.221556886227543,Young,Small
VEH0043,Medium_Truck,2056.62,6.63,Mumbai,In_Transit,3.5725329003199446,0.407,16.289926289926292,Young,Medium
VEH0044,Large_Truck,6301.18,4.48,Ahmedabad,Available,6.3989178679313525,0.603,7.429519071310117,Middle,Large
VEH0045,Express_Bike,39.87,30.81,Pune,In_Transit,1.32823897558327,0.088,350.1136363636364,New,Small
VEH0046,Small_Van,654.9,9.0,Ahmedabad,Available,2.4116168668616176,0.3,30.0,Young,Small
VEH0047,Large_Truck,5383.18,6.62,Kolkata,Available,7.353413329049445,0.408,16.225490196078432,Middle,Large
VEH0048,Express_Bike,23.07,25.32,Delhi,Available,2.2383769271701253,0.107,236.6355140186916,Young,Small
VEH0049,Medium_Truck,3807.12,6.23,Kolkata,Available,1.953973009526695,0.433,14.387990762124712,New,Medium
VEH0050,Refrigerated,2515.41,7.51,Pune,Available,3.6088704861259417,0.359,20.919220055710305,Young,Medium
