Order_ID,Route,Distance_KM,Fuel_Consumption_L,Toll_Charges_INR,Traffic_Delay_Minutes,Weather_Impact,Fuel_Efficiency,Cost_Per_KM,Traffic_Level,Route_Complexity,Weather_Severity
ORD000069,Chennai-Singapore,4609.29,555.42,0.0,0,Normal,8.298746894242196,0.0,Low,Very_Long,0
ORD000070,Pune-Mumbai,1453.61,176.97,1162.89,108,Normal,8.213878058427982,0.8000013758848661,Very_High,Very_Long,0
ORD000071,Delhi-Bangkok,2409.8,290.69,0.0,0,Light_Rain,8.289930854174552,0.0,Low,Very_Long,1
ORD000072,Pune-Bangkok,2946.88,355.07,0.0,0,Normal,8.299433914439406,0.0,Low,Very_Long,0
ORD000073,Mumbai-Dubai,4139.62,493.75,0.0,0,Heavy_Rain,8.384040506329114,0.0,Low,Very_Long,3
ORD000074,Bangalore-Bangkok,2862.23,342.15,0.0,0,Normal,8.36542452140874,0.0,Low,Very_Long,0
ORD000075,Delhi-Dubai,2334.54,280.3,0.0,0,Normal,8.328719229397073,0.0,Low,Very_Long,0
ORD000076,Bangalore-Hyderabad,1520.32,177.58,1216.25,36,Heavy_Rain,8.561324473476741,0.799996053462429,High,Very_Long,3
ORD000077,Mumbai-Hong Kong,4514.8,543.87,0.0,0,Heavy_Rain,8.301248460109953,0.0,Low,Very_Long,3
ORD000078,Hyderabad-Chennai,153.42,20.77,122.73,101,Normal,7.3866153105440535,0.7999608916699258,Very_High,Short,0
ORD000079,Hyderabad-Bangkok,3785.4,449.35,0.0,0,Normal,8.424168243017691,0.0,Low,Very_Long,0
ORD000080,Pune-Hyderabad,1737.95,208.74,1390.36,101,Light_Rain,8.3259078279199,0.7999999999999999,Very_High,Very_Long,1
ORD000081,Mumbai-Ahmedabad,873.36,102.48,698.69,80,Normal,8.52224824355972,0.8000022900064121,Very_High,Long,0
ORD000082,Chennai-Hyderabad,1759.22,207.36,1407.38,52,Normal,8.483892746913579,0.8000022737349508,High,Very_Long,0
ORD000083,Bangalore-Bangkok,3147.74,376.41,0.0,0,Normal,8.362530219707233,0.0,Low,Very_Long,0
ORD000084,Delhi-Hong Kong,3306.52,395.1,0.0,0,Normal,8.368818020754238,0.0,Low,Very_Long,0
ORD000085,Delhi-Dubai,4217.08,503.28,0.0,0,Normal,8.379192497218249,0.0,Low,Very_Long,0
ORD000086,Delhi-Chennai,1070.1,129.09,856.08,116,Normal,8.289565419474783,0.8000000000000002,Very_High,Very_Long,0
ORD000087,Chennai-Ahmedabad,1756.13,214.21,1404.9,72,Normal,8.198170020073759,0.7999977222642971,Very_High,Very_Long,0
ORD000088,Bangalore-Hong Kong,4489.29,539.78,0.0,0,Normal,8.31688836192523,0.0,Low,Very_Long,0
ORD000089,Bangalore-Hong Kong,2621.28,311.08,0.0,0,Heavy_Rain,8.426385495692427,0.0,Low,Very_Long,3
ORD000090,Mumbai-Bangkok,4130.41,500.02,0.0,0,Normal,8.260489580416783,0.0,Low,Very_Long,0
ORD000091,Mumbai-Hyderabad,904.78,104.17,723.83,43,Normal,8.685610060478064,0.8000066314463186,High,Long,0
ORD000092,Mumbai-Ahmedabad,1728.24,211.82,1382.59,4,Normal,8.159002927013502,0.7999988427533212,Low,Very_Long,0
ORD000093,Ahmedabad-Delhi,1206.63,146.24,965.3,31,Normal,8.251025711159738,0.7999966849821403,High,Very_Long,0
ORD000094,Mumbai-Kolkata,721.66,83.85,577.33,107,Normal,8.606559332140728,0.8000027713881884,Very_High,Long,0
ORD000095,Mumbai-Bangalore,1623.33,198.27,1298.66,44,Normal,8.187471629596004,0.799997535929232,High,Very_Long,0
ORD000096,Delhi-Ahmedabad,1768.81,212.53,1415.05,67,Normal,8.322636804215875,0.8000011307036935,Very_High,Very_Long,0
ORD000097,Kolkata-Delhi,1246.02,147.12,996.82,48,Heavy_Rain,8.469412724306688,0.8000032102213448,High,Very_Long,3
ORD000098,Ahmedabad-Bangkok,3012.02,363.69,0.0,0,Normal,8.281833429569138,0.0,Low,Very_Long,0
ORD000099,Kolkata-Mumbai,203.07,26.27,162.46,25,Normal,7.7301103920822225,0.8000196976412075,Medium,Medium,0
ORD000100,Chennai-Dubai,2023.52,244.13,0.0,0,Normal,8.288698644164993,0.0,Low,Very_Long,0
ORD000101,Bangalore-Mumbai,328.27,43.97,262.61,26,Light_Rain,7.46577211735274,0.7999817223626894,Medium,Medium,1
ORD000102,Mumbai-Singapore,3062.8,372.03,0.0,0,Fog,8.232669408381046,0.0,Low,Very_Long,2
ORD000103,Pune-Delhi,1155.54,142.95,924.44,61,Normal,8.083525708289612,0.8000069231701197,Very_High,Very_Long,0
ORD000104,Kolkata-Singapore,3639.73,436.1,0.0,0,Normal,8.34609034625086,0.0,Low,Very_Long,0
ORD000105,Chennai-Bangalore,381.77,45.27,305.42,43,Heavy_Rain,8.43317870554451,0.8000104775126385,High,Medium,3
ORD000106,Kolkata-Pune,1246.39,145.94,997.11,74,Light_Rain,8.540427572975196,0.7999983953658164,Very_High,Very_Long,1
ORD000107,Kolkata-Bangalore,1551.43,183.59,1241.15,69,Normal,8.45051473391797,0.8000038673997538,Very_High,Very_Long,0
ORD000108,Chennai-Ahmedabad,1182.12,141.84,945.69,55,Light_Rain,8.334179357021995,0.7999949243731602,High,Very_Long,1
ORD000109,Ahmedabad-Hong Kong,4943.43,593.91,0.0,0,Normal,8.323533868767996,0.0,Low,Very_Long,0
ORD000110,Pune-Dubai,3310.99,398.25,0.0,0,Normal,8.31384808537351,0.0,Low,Very_Long,0
ORD000111,Chennai-Delhi,1157.98,143.77,926.39,3,Light_Rain,8.054392432357236,0.8000051814366397,Low,Very_Long,1
ORD000112,Chennai-Hyderabad,1344.61,159.9,1075.69,16,Fog,8.409068167604753,0.8000014874201442,Medium,Very_Long,2
ORD000113,Mumbai-Pune,986.48,123.15,789.19,118,Normal,8.010393828664231,0.8000060822317736,Very_High,Long,0
ORD000114,Chennai-Kolkata,1552.18,188.99,1241.74,99,Normal,8.21302714429335,0.7999974229792937,Very_High,Very_Long,0
ORD000115,Mumbai-Kolkata,1189.05,144.35,951.24,58,Fog,8.237270523034292,0.8,High,Very_Long,2
ORD000116,Bangalore-Kolkata,1398.08,171.32,1118.47,43,Normal,8.160635068876955,0.8000042915999085,High,Very_Long,0
ORD000117,Ahmedabad-Delhi,115.37,12.41,92.29,27,Normal,9.296535052377115,0.7999479934124989,Medium,Short,0
ORD000118,Bangalore-Kolkata,1178.42,138.63,942.73,103,Light_Rain,8.500468873981102,0.7999949084367203,Very_High,Very_Long,1
ORD000119,Bangalore-Bangkok,4186.58,498.34,0.0,0,Normal,8.401051490949953,0.0,Low,Very_Long,0
ORD000120,Delhi-Mumbai,149.59,17.76,119.67,12,Normal,8.42286036036036,0.7999866301223344,Medium,Short,0
ORD000121,Mumbai-Pune,1632.35,192.42,1305.88,118,Heavy_Rain,8.483265772788691,0.8000000000000002,Very_High,Very_Long,3
ORD000122,Kolkata-Mumbai,1788.53,210.07,1430.83,92,Normal,8.513971533298424,0.8000033547102928,Very_High,Very_Long,0
ORD000123,Mumbai-Hong Kong,3906.33,464.67,0.0,0,Normal,8.406675705339273,0.0,Low,Very_Long,0
ORD000124,Mumbai-Pune,198.09,23.22,158.48,89,Normal,8.531007751937985,0.8000403856832752,Very_High,Short,0
ORD000125,Delhi-Mumbai,1438.83,170.17,1151.07,83,Normal,8.45525063172122,0.8000041700548363,Very_High,Very_Long,0
ORD000126,Kolkata-Pune,806.53,100.26,645.22,0,Normal,8.044384600039896,0.7999950404820652,Low,Long,0
ORD000127,Kolkata-Hong Kong,4754.72,566.58,0.0,0,Normal,8.391965830068129,0.0,Low,Very_Long,0
ORD000128,Mumbai-Singapore,2662.56,314.9,0.0,0,Normal,8.455255636710067,0.0,Low,Very_Long,0
ORD000129,Bangalore-Bangkok,2525.67,306.75,0.0,0,Normal,8.233643031784842,0.0,Low,Very_Long,0
ORD000130,Bangalore-Delhi,1715.78,206.71,1372.62,10,Normal,8.300420879493009,0.7999976686987842,Low,Very_Long,0
ORD000131,Chennai-Delhi,826.75,97.47,661.4,114,Normal,8.482097055504259,0.7999999999999999,Very_High,Long,0
ORD000132,Chennai-Kolkata,700.19,87.96,560.15,70,Light_Rain,7.960322874033653,0.7999971436324426,Very_High,Long,1
ORD000133,Delhi-Bangkok,3202.83,386.97,0.0,0,Light_Rain,8.276688115357778,0.0,Low,Very_Long,1
ORD000134,Bangalore-Chennai,1611.11,193.78,1288.89,108,Normal,8.314119104138713,0.8000012413801666,Very_High,Very_Long,0
ORD000135,Bangalore-Kolkata,416.43,48.29,333.14,102,Normal,8.62352453924208,0.799990394544101,Very_High,Medium,0
ORD000136,Hyderabad-Ahmedabad,1181.27,140.4,945.02,14,Heavy_Rain,8.413603988603988,0.800003386186054,Medium,Very_Long,3
ORD000137,Bangalore-Bangkok,3380.01,401.55,0.0,0,Light_Rain,8.41740754576018,0.0,Low,Very_Long,1
ORD000138,Delhi-Mumbai,180.99,23.99,144.79,92,Light_Rain,7.544393497290539,0.7999889496657273,Very_High,Short,1
ORD000139,Delhi-Pune,1212.91,142.06,970.32,56,Normal,8.538012107560187,0.7999934042921568,High,Very_Long,0
ORD000140,Bangalore-Chennai,177.19,19.16,141.75,108,Normal,9.247912317327765,0.7999887126813026,Very_High,Short,0
ORD000141,Kolkata-Bangkok,2383.6,288.69,0.0,0,Normal,8.256607433579271,0.0,Low,Very_Long,0
ORD000142,Bangalore-Hong Kong,3249.7,390.19,0.0,0,Normal,8.328506624977575,0.0,Low,Very_Long,0
ORD000143,Chennai-Ahmedabad,1754.23,207.77,1403.39,37,Normal,8.443134234971362,0.8000034203040651,High,Very_Long,0
ORD000144,Kolkata-Hong Kong,3312.45,401.32,0.0,0,Normal,8.253887172331307,0.0,Low,Very_Long,0
ORD000145,Bangalore-Delhi,424.9,49.09,339.92,114,Normal,8.655530657975147,0.8,Very_High,Medium,0
ORD000146,Delhi-Bangalore,1361.22,166.83,1088.98,86,Normal,8.159323862614638,0.8000029385404269,Very_High,Very_Long,0
ORD000147,Hyderabad-Chennai,1623.27,197.97,1298.62,111,Light_Rain,8.199575693286862,0.8000024641618461,Very_High,Very_Long,1
ORD000148,Delhi-Mumbai,408.74,47.76,326.99,46,Light_Rain,8.55820770519263,0.7999951069139306,High,Medium,1
ORD000149,Bangalore-Chennai,1774.26,215.45,1419.41,84,Normal,8.235135762357856,0.8000011272305074,Very_High,Very_Long,0
ORD000150,Ahmedabad-Dubai,2448.8,292.66,0.0,0,Normal,8.36738877878767,0.0,Low,Very_Long,0
